Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login - Admin,100,4653,1669,16370,2488.81,0.000%,1.00909,0.60,0.29,606.0
Admin Users,100,4345,1578,14753,2951.70,0.000%,1.00111,2.14,0.22,2184.0
Admin Branches,100,3770,1125,15910,2902.12,0.000%,.98479,1.41,0.22,1468.0
Admin Products,100,3008,824,14758,1636.63,0.000%,1.02598,7.79,0.23,7770.0
Admin Inventory,100,2441,1106,4697,778.22,0.000%,1.18482,36.74,0.27,31749.0
Dashboard Summary,100,2926,578,7464,1555.25,0.000%,1.21646,0.47,0.29,399.0
TOTAL,600,3524,578,16370,2339.41,0.000%,5.35963,38.54,1.27,7362.7
