Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SQL Injection Login,15,4141,528,12219,4085.65,100.000%,.55277,0.19,0.12,345.0
TOTAL,15,4141,528,12219,4085.65,100.000%,.55277,0.19,0.12,345.0
