Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login - Admin,50,4235,2482,8206,1521.52,0.000%,.69456,0.41,0.20,606.0
Dashboard Summary,50,4321,2035,15696,3245.93,0.000%,.68973,0.27,0.16,399.0
Product List,50,4478,1951,14879,3331.35,0.000%,.67787,5.14,0.15,7770.0
Inventory List,50,3094,1572,8276,1368.02,0.000%,.76449,23.70,0.17,31749.0
TOTAL,200,4032,1572,15696,2599.23,0.000%,2.33965,23.15,0.57,10131.0
